,tablerownames,ticker,company,constituentStart,constituentEnd,industryCode,industry
470,474,PBI.US Equity,Pitney Bowes Inc,1/1/1970,2/27/2017,202010,Commercial Services & Supplies
471,475,PCAR.US Equity,PACCAR Inc.,10/2/1980,null,201060,Machinery
472,476,PCG.US Equity,PG&E Corp,1/1/1970,1/16/2019,551030,Multi-Utilities
473,477,PCL.US Equity,Plum Creek Timber Company,1/16/2002,2/18/2016,601010,Equity Real Estate Investment Trusts (REITs)
474,478,PCP.US Equity,Precision Castparts Corp,5/31/2007,1/28/2016,201010,Aerospace & Defense
475,479,PDCO.US Equity,Patterson Companies,10/10/2005,3/17/2018,351020,Health Care Providers & Services
476,480,PEAK.US Equity,Healthpeak Properties Inc,3/28/2008,null,601010,Equity Real Estate Investment Trusts (REITs)
477,481,PEG.US Equity,Public Service Enterprise Group Incorporated,1/1/1970,null,551010,Electric Utilities
478,482,PEP.US Equity,"PepsiCo, Inc",1/1/1970,null,302010,Beverages
479,483,PETM.US Equity,PetSmart Inc,10/4/2012,3/10/2015,255040,Specialty Retail
480,484,PFE.US Equity,Pfizer Inc,1/1/1970,null,352020,Pharmaceuticals
481,485,PFG.US Equity,Principal Financial Group Inc,7/19/2002,null,403010,Insurance
482,486,PG.US Equity,The Procter & Gamble Company,1/1/1970,null,303020,Personal Products
483,487,PGL.US Equity,Peoples Energy Corp,1/1/1970,2/20/2007,551020,Gas Utilities
484,488,PGR.US Equity,Progressive Corp.,8/1/1997,null,403010,Insurance
485,489,PH.US Equity,Parker-Hannifin Corp,11/7/1985,null,201060,Machinery
486,490,PHM.US Equity,PulteGroup Inc,4/12/1984,null,252010,Household Durables
487,491,PKI.US Equity,PerkinElmer Inc,5/9/1985,null,351010,Health Care Equipment & Supplies
488,492,PLD.US Equity,Prologis,7/16/2003,null,601010,Equity Real Estate Investment Trusts (REITs)
489,493,PM.US Equity,Philip Morris International Inc,3/28/2008,null,302030,Tobacco
490,494,PMCS.US Equity,PMC-Sierra Inc,8/2/2001,6/28/2007,453010,Semiconductors & Semiconductor Equipment
491,495,PNC.US Equity,PNC Financial Services Group Inc,4/14/1988,null,401010,Commercial Banks
492,496,PNR.US Equity,Pentair plc,9/28/2012,null,201060,Machinery
493,497,PNW.US Equity,Pinnacle West Capital Corp,10/1/1999,null,551030,Multi-Utilities
494,498,POM.US Equity,Pepco Holdings Inc.,11/8/2007,3/23/2016,551010,Electric Utilities
495,499,PPG.US Equity,"PPG Industries, Inc",1/1/1970,null,151010,Chemicals
496,500,PPL.US Equity,PPL Corp.,11/24/1995,null,551010,Electric Utilities
497,501,PRGO.US Equity,Perrigo Company Plc,12/16/2011,null,352020,Pharmaceuticals
498,502,PRU.US Equity,Prudential Financial Inc,7/19/2002,null,403010,Insurance
499,503,PSA.US Equity,Public Storage,8/18/2005,null,601010,Equity Real Estate Investment Trusts (REITs)
500,504,PSX.US Equity,Phillips 66,4/30/2012,null,101020,"Oil, Gas & Consumable Fuels"
501,505,PTV.US Equity,Pactiv Corp,11/4/1999,11/15/2010,151030,Containers & Packaging
502,506,PVH.US Equity,PVH Corp.,2/13/2013,null,252030,"Textiles, Apparel & Luxury Goods"
503,507,PWR.US Equity,Quanta Services Inc.,6/30/2009,null,201030,Construction & Engineering
504,508,PXD.US Equity,Pioneer Natural Resources Co,9/23/2008,null,101020,"Oil, Gas & Consumable Fuels"
505,509,PYPL.US Equity,PayPal Holdings Inc.,7/17/2015,null,451020,IT Services
506,510,QCOM.US Equity,Qualcomm Inc,7/21/1999,null,453010,Semiconductors & Semiconductor Equipment
507,511,QEP.US Equity,QEP Resources Inc,6/30/2010,6/29/2015,101020,"Oil, Gas & Consumable Fuels"
508,512,QLGC.US Equity,QLogic Corp.,12/11/2000,1/13/2011,452030,"Electronic Equipment, Instruments & Components"
509,513,QRVO.US Equity,Qorvo Inc,6/11/2015,null,453010,Semiconductors & Semiconductor Equipment
